REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",UOM,COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2010,Province 1,All quintiles,Total expenditure,Dollars,C1,72075,Couple families,Total all ages,All income groups,7989380
2010,Province 1,All quintiles,Food purchased from stores,Dollars,C2,5709,Couple families,Total all ages,"Under $10,000",189700
2010,Province 1,All quintiles,Food purchased from restaurants,Dollars,C3,2141,Couple families,Total all ages,"$10,000 and over",7799670
2010,Province 1,All quintiles,Shelter,Dollars,C4,15020,Couple families,Total all ages,"$15,000 and over",7695970
2010,Province 1,All quintiles,Principal accommodation,Dollars,C5,13586,Couple families,Total all ages,"$20,000 and over",7552050
2010,Province 1,All quintiles,Rented living quarters,Dollars,C6,3088,Couple families,Total all ages,"$25,000 and over",7355530
2010,Province 1,All quintiles,Owned living quarters,Dollars,C7,8259,Couple families,Total all ages,"$30,000 and over",7045540
2010,Province 1,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C8,2240,Couple families,Total all ages,"$35,000 and over",6708710
2010,Province 1,All quintiles,Other accommodation,Dollars,C9,1433,Couple families,Total all ages,"$40,000 and over",6383220
2010,Province 1,All quintiles,Household operations,Dollars,C10,3887,Couple families,Total all ages,"$45,000 and over",6052150
2010,Province 1,All quintiles,Communications,Dollars,C11,1742,Couple families,Total all ages,"$50,000 and over",5719630
2010,Province 1,All quintiles,Household furnishings and equipment,Dollars,C12,1972,Couple families,Total all ages,"$60,000 and over",5059180
2010,Province 1,All quintiles,Household furnishings,Dollars,C13,896,Couple families,Total all ages,"$70,000 and over",4420250
2010,Province 1,All quintiles,Household equipment,Dollars,C14,944,Couple families,Total all ages,"$75,000 and over",4111920
2010,Province 1,All quintiles,Household appliances,Dollars,C15,415,Couple families,Total all ages,"$80,000 and over",3815020
2010,Province 1,All quintiles,Clothing and accessories,Dollars,C16,3467,Couple families,Total all ages,"$90,000 and over",3258520
2010,Province 1,All quintiles,Transportation,Dollars,C17,11156,Couple families,Total all ages,Median total income,76950
2010,Province 1,Lowest quintile,Total expenditure,Dollars,C18,29151,Couple families,0 to 24 years,All income groups,133350
2010,Province 1,Lowest quintile,Food purchased from stores,Dollars,C19,3466,Couple families,0 to 24 years,"Under $10,000",12780
2010,Province 1,Lowest quintile,Food purchased from restaurants,Dollars,C20,967,Couple families,0 to 24 years,"$10,000 and over",120570
2010,Province 1,Lowest quintile,Shelter,Dollars,C21,9223,Couple families,0 to 24 years,"$15,000 and over",111560
2010,Province 1,Lowest quintile,Principal accommodation,Dollars,C22,8742,Couple families,0 to 24 years,"$20,000 and over",100830
2010,Province 1,Lowest quintile,Rented living quarters,Dollars,C23,4818,Couple families,0 to 24 years,"$25,000 and over",89240
2010,Province 1,Lowest quintile,Owned living quarters,Dollars,C24,2693,Couple families,0 to 24 years,"$30,000 and over",77820
2010,Province 1,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C25,1232,Couple families,0 to 24 years,"$35,000 and over",66800
2010,Province 1,Lowest quintile,Other accommodation,Dollars,C26,480,Couple families,0 to 24 years,"$40,000 and over",56360
2010,Province 1,Lowest quintile,Household operations,Dollars,C27,2063,Couple families,0 to 24 years,"$45,000 and over",47150
2010,Province 1,Lowest quintile,Communications,Dollars,C28,1079,Couple families,0 to 24 years,"$50,000 and over",39130
2010,Province 1,Lowest quintile,Household furnishings and equipment,Dollars,C29,789,Couple families,0 to 24 years,"$60,000 and over",26480
2010,Province 1,Lowest quintile,Household furnishings,Dollars,C30,366,Couple families,0 to 24 years,"$70,000 and over",17520
2010,Province 1,Lowest quintile,Household equipment,Dollars,C31,371,Couple families,0 to 24 years,"$75,000 and over",14210
2010,Province 1,Lowest quintile,Household appliances,Dollars,C32,192,Couple families,0 to 24 years,"$80,000 and over",11480
2010,Province 1,Lowest quintile,Clothing and accessories,Dollars,C33,1431,Couple families,0 to 24 years,"$90,000 and over",7490
2010,Province 1,Lowest quintile,Transportation,Dollars,C34,4473,Couple families,0 to 24 years,Median total income,35050
2010,Province 1,Second quintile,Total expenditure,Dollars,C35,43247,Couple families,25 to 34 years,All income groups,1072780
2010,Province 1,Second quintile,Food purchased from stores,Dollars,C36,4744,Couple families,25 to 34 years,"Under $10,000",33380
2010,Province 1,Second quintile,Food purchased from restaurants,Dollars,C37,1390,Couple families,25 to 34 years,"$10,000 and over",1039400
2010,Province 1,Second quintile,Shelter,Dollars,C38,11252,Couple families,25 to 34 years,"$15,000 and over",1018700
2010,Province 1,Second quintile,Principal accommodation,Dollars,C39,10621,Couple families,25 to 34 years,"$20,000 and over",991410
